sampler,seed,steps,cost_per_step,tuned_step_size,acceptance,ESS_x0,ESS_per_1k_steps,ESS_per_1k_evals,hops,hops_per_1k_steps,hops_per_1k_evals,longest_dwell,mean_x0,std_x0
RWM,0,200000,1.0,1.0,0.283495,3586.046,17.930,17.930,6510,32.5500,32.5500,474,0.003546,1.400105
MALA,0,200000,3.0,1.0,0.194725,2247.701,11.239,3.746,3122,15.6100,5.2033,687,0.006636,1.403686
HMC,0,50000,12.0,0.2,0.973920,2159.724,43.194,3.600,3185,63.7000,5.3083,144,-0.078964,1.396594
RWM,1,200000,1.0,1.0,0.281720,3544.996,17.725,17.725,6484,32.4200,32.4200,451,0.033966,1.401571
MALA,1,200000,3.0,1.0,0.195015,2102.697,10.513,3.504,3164,15.8200,5.2733,690,-0.008970,1.401656
HMC,1,50000,12.0,0.2,0.975520,2425.002,48.500,4.042,3384,67.6800,5.6400,172,-0.005058,1.399031
RWM,2,200000,1.0,1.0,0.284540,3958.552,19.793,19.793,6561,32.8050,32.8050,344,-0.030792,1.398541
MALA,2,200000,3.0,1.0,0.197165,2366.131,11.831,3.944,3253,16.2650,5.4217,863,0.022128,1.399250
HMC,2,50000,12.0,0.2,0.974060,1737.134,34.743,2.895,3292,65.8400,5.4867,158,0.041939,1.401475
RWM,3,200000,1.0,1.0,0.282825,3867.843,19.339,19.339,6552,32.7600,32.7600,361,0.033486,1.401566
MALA,3,200000,3.0,1.0,0.195860,2083.291,10.416,3.472,3146,15.7300,5.2433,706,0.031183,1.397225
HMC,3,50000,12.0,0.2,0.975520,2251.318,45.026,3.752,3283,65.6600,5.4717,158,0.014583,1.398501
RWM,4,200000,1.0,1.0,0.284170,3854.411,19.272,19.272,6724,33.6200,33.6200,334,-0.001747,1.401729
MALA,4,200000,3.0,1.0,0.197210,2236.176,11.181,3.727,3197,15.9850,5.3283,598,0.054608,1.394942
HMC,4,50000,12.0,0.2,0.975180,2085.077,41.702,3.475,3119,62.3800,5.1983,228,-0.031518,1.404802
RWM,5,200000,1.0,1.0,0.282330,3994.119,19.971,19.971,6448,32.2400,32.2400,352,-0.032693,1.403429
MALA,5,200000,3.0,1.0,0.195220,2066.445,10.332,3.444,3165,15.8250,5.2750,609,-0.005848,1.398573
HMC,5,50000,12.0,0.2,0.975260,2385.149,47.703,3.975,3197,63.9400,5.3283,128,0.032074,1.399560
RWM,6,200000,1.0,1.0,0.284565,3469.066,17.345,17.345,6578,32.8900,32.8900,345,0.011149,1.401597
MALA,6,200000,3.0,1.0,0.194075,1988.397,9.942,3.314,3007,15.0350,5.0117,607,0.032734,1.401817
HMC,6,50000,12.0,0.2,0.975540,2117.560,42.351,3.529,3206,64.1200,5.3433,150,0.053014,1.399040
RWM,7,200000,1.0,1.0,0.281375,3513.270,17.566,17.566,6659,33.2950,33.2950,312,0.012092,1.402116
MALA,7,200000,3.0,1.0,0.195940,2183.399,10.917,3.639,3054,15.2700,5.0900,809,0.008145,1.398529
HMC,7,50000,12.0,0.2,0.974280,1940.174,38.803,3.234,3201,64.0200,5.3350,153,0.010597,1.401226
RWM,8,200000,1.0,1.0,0.280455,3982.685,19.913,19.913,6736,33.6800,33.6800,354,-0.001307,1.400780
MALA,8,200000,3.0,1.0,0.194300,2085.603,10.428,3.476,3022,15.1100,5.0367,695,0.016932,1.401993
HMC,8,50000,12.0,0.2,0.975260,1787.137,35.743,2.979,3233,64.6600,5.3883,217,-0.023638,1.404450
RWM,9,200000,1.0,1.0,0.283500,3760.935,18.805,18.805,6701,33.5050,33.5050,358,-0.003891,1.401950
MALA,9,200000,3.0,1.0,0.192650,2062.523,10.313,3.438,2979,14.8950,4.9650,1128,-0.000001,1.401144
HMC,9,50000,12.0,0.2,0.974020,1929.456,38.589,3.216,3321,66.4200,5.5350,154,-0.015796,1.399241
