method,model,seed,internal_auc,internal_sens,internal_spec,external_auc,external_sens,external_spec
none,logreg,0,0.9837962962962963,0.9583333333333334,0.9166666666666666,0.9917695473251029,1.0,0.8888888888888888
none,gbdt,0,0.9803240740740741,1.0,0.9166666666666666,0.9294080405191516,0.7948717948717948,0.8765432098765432
smote,logreg,0,0.9837962962962963,1.0,0.9166666666666666,0.9914529914529915,1.0,0.8888888888888888
smote,gbdt,0,0.9872685185185185,1.0,0.8888888888888888,0.9303577081354859,0.8205128205128205,0.8395061728395061
gaussian_copula,logreg,0,0.9837962962962963,1.0,0.9166666666666666,0.9920861031972144,1.0,0.7160493827160493
gaussian_copula,gbdt,0,0.9722222222222223,0.9583333333333334,0.8611111111111112,0.9290914846470402,0.7435897435897436,0.8888888888888888
none,logreg,1,0.9610678531701892,0.9655172413793104,0.8387096774193549,0.9908198797087685,0.9743589743589743,0.9629629629629629
none,gbdt,1,0.9555061179087876,0.896551724137931,0.9032258064516129,0.9901867679645457,0.9230769230769231,0.9876543209876543
smote,logreg,1,0.9621802002224694,0.9655172413793104,0.8387096774193549,0.9908198797087685,0.9743589743589743,0.9753086419753086
smote,gbdt,1,0.9421579532814237,0.9310344827586207,0.8709677419354839,0.9952516619183287,0.9230769230769231,0.9876543209876543
gaussian_copula,logreg,1,0.9599555061179088,0.9655172413793104,0.8387096774193549,0.9908198797087686,0.9743589743589743,0.8888888888888888
gaussian_copula,gbdt,1,0.9276974416017798,0.9310344827586207,0.7741935483870968,0.9686609686609687,0.8205128205128205,0.9506172839506173
none,logreg,2,0.9864253393665158,0.9230769230769231,0.9117647058823529,0.99335232668566,1.0,0.691358024691358
none,gbdt,2,0.9864253393665158,0.9615384615384616,0.8823529411764706,0.993985438429883,0.8974358974358975,0.9753086419753086
smote,logreg,2,0.9841628959276018,0.9230769230769231,0.9411764705882353,0.9943019943019943,1.0,0.7283950617283951
smote,gbdt,2,0.9886877828054299,0.9230769230769231,0.9705882352941176,0.9958847736625515,0.8205128205128205,0.9876543209876543
gaussian_copula,logreg,2,0.9751131221719457,0.8846153846153846,0.9117647058823529,0.9895536562203229,1.0,0.5679012345679012
gaussian_copula,gbdt,2,0.995475113122172,0.8461538461538461,0.9705882352941176,0.9844887622665401,0.8717948717948718,0.9629629629629629
none,logreg,3,0.99,0.9333333333333333,0.9666666666666667,0.9943019943019943,1.0,0.8271604938271605
none,gbdt,3,0.9833333333333334,0.8666666666666667,0.9666666666666667,0.9667616334283,0.9230769230769231,0.8518518518518519
smote,logreg,3,0.9922222222222222,0.9,1.0,0.993985438429883,1.0,0.7654320987654321
smote,gbdt,3,0.9855555555555556,0.8666666666666667,0.9666666666666667,0.9401709401709402,0.8205128205128205,0.8765432098765432
gaussian_copula,logreg,3,0.9922222222222222,0.8666666666666667,1.0,0.9936688825577714,1.0,0.8518518518518519
gaussian_copula,gbdt,3,0.9655555555555555,0.8333333333333334,0.9666666666666667,0.9597974042418487,0.8461538461538461,0.9012345679012346
none,logreg,4,0.9555061179087876,0.9655172413793104,0.7741935483870968,0.9889205444761001,0.9230769230769231,0.9876543209876543
none,gbdt,4,0.9788654060066742,0.9655172413793104,0.8709677419354839,0.9914529914529915,0.8974358974358975,0.9753086419753086
smote,logreg,4,0.9555061179087876,0.9310344827586207,0.8387096774193549,0.989553656220323,0.9487179487179487,0.9753086419753086
smote,gbdt,4,0.9699666295884316,0.9655172413793104,0.7419354838709677,0.9908198797087686,0.9487179487179487,0.9506172839506173
gaussian_copula,logreg,4,0.9543937708565071,0.896551724137931,0.9032258064516129,0.9889205444761,0.9230769230769231,0.9876543209876543
gaussian_copula,gbdt,4,0.9543937708565072,0.9655172413793104,0.7741935483870968,0.9943019943019944,0.9487179487179487,0.9629629629629629
